customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
6374-GZSWK,Male,0,Yes,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),19.02,199.11,Yes
7437-XCVUB,Male,0,Yes,No,3,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),74.75,129.29,Yes
7514-ALZVL,Female,0,No,No,37,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,Yes,One year,Yes,Electronic check,111.75,3950.22,No
8092-LWTYC,Male,0,No,No,4,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,136.9,509.1,No
4264-IGRDY,Female,0,No,No,1,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Electronic check,65.75,140.46,Yes
1989-UBTOG,Male,0,No,No,4,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,102.83,353.55,Yes
7203-RHDBF,Male,0,Yes,No,13,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,100.34,1113.95,No
5935-RZLBJ,Female,0,Yes,No,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,24.41,184.89,No
3768-HUPMR,Male,0,No,Yes,68,Yes,No,DSL,No,Yes,No,No,No,No,Two year,Yes,Credit card (automatic),56.27,3592.02,No
4798-MIOMA,Male,0,No,Yes,72,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),84.37,5737.78,Yes
8687-ALHXK,Male,0,Yes,No,3,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,One year,No,Electronic check,110.85,322.03,No
2072-CAEJG,Female,0,Yes,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),22.04,22.04,Yes
9868-HLBAP,Female,0,No,Yes,54,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,76.52,3972.72,Yes
6674-CLHVC,Female,0,No,No,69,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),71.97,4665.43,No
0242-AEZWN,Male,0,No,No,52,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),77.45,3829.36,No
6899-MSGQT,Female,0,Yes,No,34,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,Yes,Electronic check,96.88,3104.87,No
3466-MOKDM,Male,0,No,Yes,1,Yes,Yes,DSL,No,Yes,Yes,Yes,No,No,Two year,Yes,Mailed check,80.62,111.22,No
6251-JMYUF,Male,0,Yes,Yes,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,22.26,184.32,No
3968-GAAYY,Male,1,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),20.03,20.03,No
3826-FHIEA,Female,0,No,No,4,No,No phone service,DSL,No,No,Yes,Yes,No,No,Two year,Yes,Electronic check,58.9,183.02,No
2975-XITQQ,Female,0,No,No,1,Yes,Yes,DSL,No,No,Yes,Yes,No,No,Two year,Yes,Bank transfer (automatic),75.15,108.82,No
9361-CQEQX,Female,0,Yes,No,1,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),95.3,108.97,No
0011-VWEAA,Male,1,No,No,65,No,No phone service,DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),64.59,4002.62,Yes
